"filename", "language", "C++", "comment", "blank", "total"
"d:\C++\tinySTL-comment\deque.h", "C++", 6, 0, 1, 7
"d:\C++\tinySTL-comment\list.h", "C++", 7, -1, 0, 6
"d:\C++\tinySTL-comment\mutimap.h", "C++", 57, 1, 7, 65
"d:\C++\tinySTL-comment\priority_queue.h", "C++", 94, 3, 11, 108
"d:\C++\tinySTL-comment\queue.h", "C++", 54, 0, 7, 61
"d:\C++\tinySTL-comment\stack.h", "C++", 43, 0, 6, 49
"d:\C++\tinySTL-comment\test.cpp", "C++", 74, 4, 6, 84
"d:\C++\tinySTL-comment\unordered_map.h", "C++", 19, 0, 9, 28
"d:\C++\tinySTL-comment\vector.h", "C++", 1, 0, 0, 1
"Total", "-", 355, 7, 47, 409
